id_cliente;nome;cidade_origem;estado_origem;faixa_etaria;tipo_cliente
1;Otavio Reis;São Paulo;SP;18-25;Corporativo
2;Larissa Sousa;Curitiba;PR;18-25;Pessoa Física
3;Tatiana Coelho;Rio de Janeiro;RJ;65+;Corporativo
4;Wilson Duarte;Brasília;DF;26-35;Corporativo
5;Gabriela Lima;Rio de Janeiro;RJ;46-55;Pessoa Física
6;Ulisses Brito;Brasília;DF;56-65;Pessoa Física
7;Kleber Pires;São Paulo;SP;65+;Pessoa Física
8;Olivia Freitas;Brasília;DF;18-25;Corporativo
9;Wesley Araujo;Belo Horizonte;MG;Não Informado;Corporativo
10;Ivan Azevedo;Curitiba;PR;26-35;Pessoa Física
11;Roberta Leite;São Paulo;SP;18-25;Pessoa Física
12;Nicolas Cunha;Fortaleza;CE;65+;Corporativo
13;João Pereira;Recife;PE;26-35;Pessoa Física
14;Larissa Sousa;Rio de Janeiro;RJ;36-45;Pessoa Física
15;Henrique Rocha;Recife;PE;Não Informado;Pessoa Física
16;Marcos Andrade;São Paulo;SP;Não Informado;Corporativo
17;Roberta Leite;Salvador;BA;36-45;Corporativo
18;Gustavo Vieira;Curitiba;PR;26-35;Pessoa Física
19;João Pereira;Brasília;DF;26-35;Pessoa Física
20;Thiago Matos;Fortaleza;CE;Não Informado;Pessoa Física
21;Elena Santos;Salvador;BA;56-65;Pessoa Física
22;Helena Borges;Curitiba;PR;56-65;Corporativo
23;Tatiana Coelho;Curitiba;PR;46-55;Corporativo
24;Elena Santos;Rio de Janeiro;RJ;18-25;Pessoa Física
25;Olivia Freitas;Curitiba;PR;18-25;Corporativo
26;Ivan Azevedo;São Paulo;SP;65+;Corporativo
27;Gabriela Lima;São Paulo;SP;46-55;Corporativo
28;Diego Ferreira;Fortaleza;CE;65+;Corporativo
29;Isabela Martins;São Paulo;SP;Não Informado;Corporativo
30;Diego Ferreira;Belo Horizonte;MG;56-65;Pessoa Física
31;Abel Correia;Rio de Janeiro;RJ;46-55;Pessoa Física
32;Yuri Castro;Fortaleza;CE;46-55;Corporativo
33;João Pereira;Brasília;DF;36-45;Pessoa Física
34;Diego Ferreira;São Paulo;SP;56-65;Corporativo
35;Lucas Souza;Curitiba;PR;56-65;Pessoa Física
36;Larissa Sousa;Salvador;BA;18-25;Pessoa Física
37;Nicolas Cunha;Salvador;BA;65+;Corporativo
38;Daniela Ramos;São Paulo;SP;18-25;Pessoa Física
39;Ivan Azevedo;Curitiba;PR;Não Informado;Corporativo
40;Xuxa Farias;Rio de Janeiro;RJ;26-35;Corporativo
41;Quincy Braga;Salvador;BA;56-65;Corporativo
42;Henrique Rocha;Curitiba;PR;65+;Pessoa Física
43;Roberta Leite;Recife;PE;Não Informado;Corporativo
44;Rafael Cardoso;Fortaleza;CE;18-25;Corporativo
45;Julia Monteiro;Belo Horizonte;MG;46-55;Pessoa Física
46;Ivan Azevedo;Rio de Janeiro;RJ;36-45;Pessoa Física
47;Wesley Araujo;Recife;PE;65+;Pessoa Física
48;Natalia Campos;Recife;PE;26-35;Pessoa Física
49;Bruno Costa;Curitiba;PR;65+;Corporativo
50;Rafael Cardoso;Curitiba;PR;65+;Pessoa Física
51;Daniela Ramos;Salvador;BA;36-45;Pessoa Física
52;Elena Santos;Brasília;DF;36-45;Corporativo
53;Bruno Costa;Recife;PE;Não Informado;Pessoa Física
54;Wesley Araujo;Curitiba;PR;36-45;Corporativo
55;Quezia Nunes;Curitiba;PR;65+;Corporativo
56;Xuxa Farias;Salvador;BA;18-25;Corporativo
57;Gustavo Vieira;Curitiba;PR;65+;Corporativo
59;Thiago Matos;Fortaleza;CE;26-35;Corporativo
60;Carlos Neto;São Paulo;SP;26-35;Corporativo
61;Sara Teixeira;Salvador;BA;65+;Corporativo
62;Olivia Freitas;São Paulo;SP;26-35;Pessoa Física
