;id_funcionario;id_unidade;nome;cargo;departamento;salario;data_admissao
0;1;1;Gabriela Lima;Auxiliar De Limpeza;Governança;2139.0;2020-10-05
1;2;1;Abel Correia;Segurança;Segurança;1746.0;2021-12-29
2;3;1;Sara Teixeira;Analista Financeiro;Financeiro;5356.0;2022-03-01
3;4;1;Julia Monteiro;Auxiliar De Limpeza;Governança;2070.0;2019-06-10
4;5;1;Daniela Ramos;Auxiliar De Limpeza;Governança;1572.0;2018-10-16
5;6;1;Lucas Souza;Auxiliar De Limpeza;Governança;1955.0;2024-02-01
6;7;1;Wilson Duarte;Recepcionista;Recepção;1906.0;2023-03-24
7;8;1;Nicolas Cunha;Recepcionista;Recepção;2417.0;2019-07-02
8;9;1;Bruno Costa;Auxiliar De Limpeza;Governança;9.0;2021-11-02
9;10;1;Bruno Costa;Manutenção;Manutenção;2314.0;2022-11-28
10;11;1;Gabriela Lima;Camareira;Governança;2800.0;2020-12-11
11;12;1;Zara Moraes;Manutenção;Manutenção;1880.0;2022-05-21
12;13;1;Roberta Leite;Manutenção;Manutenção;1882.0;2023-11-15
13;14;1;Yuri Castro;Analista Financeiro;Financeiro;14.0;2022-12-31
14;15;1;Fernanda Cruz;Camareira;Governança;1944.0;2023-11-07
15;16;2;Nicolas Cunha;Cozinheiro;Alimentos e Bebidas;3208.0;2024-02-01
16;17;2;Ivan Azevedo;Manutenção;Manutenção;2377.0;2024-09-28
17;18;2;Larissa Sousa;Cozinheiro;Alimentos e Bebidas;2647.0;2024-01-21
18;19;2;Karen Alves;Manutenção;Manutenção;2377.0;2018-11-09
19;20;2;Yuri Castro;Segurança;Segurança;2473.0;2024-01-15
20;21;2;Diego Ferreira;Segurança;Segurança;1800.0;2018-03-29
21;22;2;Ximena Godoi;Analista Financeiro;Financeiro;5534.0;2019-06-02
22;23;2;Wesley Araujo;Cozinheiro;Alimentos e Bebidas;3066.0;2020-08-28
23;24;3;Paulo Ribeiro;Manutenção;Manutenção;2530.0;2023-03-11
24;25;3;Ursula Pinto;Analista Financeiro;Financeiro;5569.0;2020-11-18
25;26;3;Gabriela Lima;Manutenção;Manutenção;26.0;2019-03-05
26;27;3;Gabriela Lima;Analista Financeiro;Financeiro;5226.0;2021-04-13
27;28;3;Ana Silva;Analista Financeiro;Financeiro;5498.0;2018-08-24
28;29;3;Kleber Pires;Cozinheiro;Alimentos e Bebidas;3033.0;2021-07-17
29;30;3;Fernanda Cruz;Manutenção;Manutenção;1949.0;2019-06-28
30;31;3;Xuxa Farias;Camareira;Governança;1757.0;2022-09-23
31;32;3;Gabriela Lima;Auxiliar De Limpeza;Governança;1538.0;2020-08-28
32;33;4;Victor Gomes;Auxiliar De Limpeza;Governança;1840.0;2023-05-24
33;34;4;Ursula Pinto;Manutenção;Manutenção;2417.0;2020-06-14
34;35;4;Sara Teixeira;Segurança;Segurança;2452.0;2022-03-15
35;36;4;Yuri Castro;Segurança;Segurança;1987.0;2018-08-06
36;37;4;Larissa Sousa;Cozinheiro;Alimentos e Bebidas;37.0;2019-09-29
37;38;4;Carlos Neto;Cozinheiro;Alimentos e Bebidas;2798.0;2020-05-01
38;39;4;Isabela Martins;Auxiliar De Limpeza;Governança;2048.0;2020-03-04
